Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-192.168.1.1-62451-53-17,192.168.1.4,62451,192.168.1.1,53,17,18/12/2024 07:50:25 PM,22918,1,1,34.0,50.0,34.0,34.0,34.0,0.0,50.0,50.0,50.0,0.0,3665.241295051924,87.26764988218866,22918.0,0.0,22918.0,22918.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,43.63382494109433,43.63382494109433,34.0,50.0,39.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,59.0,34.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
57.144.125.32-192.168.1.4-443-57005-6,57.144.125.32,443,192.168.1.4,57005,6,18/12/2024 07:50:46 PM,5115910,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.314524688667314,0.9773432292593106,1278977.5,2557851.667012313,5115755.0,0.0,5115858.0,2557929.0,3617457.8833874487,5115858.0,0.0,5115807.0,5115807.0,0.0,5115807.0,5115807.0,1,0,0,0,60,40,0.5864059375555863,0.3909372917037242,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,103.0,0.0,103.0,103.0,5115755.0,0.0,5115755.0,5115755.0,NeedManualLabel
192.168.1.7-224.0.0.251-5353-5353-17,192.168.1.7,5353,224.0.0.251,5353,17,18/12/2024 07:50:17 PM,15053195,4,0,362.0,0.0,137.0,75.0,90.5,31.0,0,0,0,0,24.048050928723104,0.26572431965439897,5017731.666666666,5321022.31905715,1.1161919E7,1945466.0,1.5053195E7,5017731.666666666,5321022.31905715,1.1161919E7,1945466.0,0,0,0,0,0,0,0,0,0,32,0,0.26572431965439897,0.0,75.0,137.0,87.4,27.727242920997394,768.8000000000001,0,0,0,0,0,0,0,0,0.0,109.25,90.5,0.0,0,0,0,0,0,0,1,120,0,0,0,0,3,8,3891276.0,0.0,3891276.0,3891276.0,1.1161919E7,0.0,1.1161919E7,1.1161919E7,NeedManualLabel
192.168.1.4-35.71.162.24-57198-443-6,192.168.1.4,57198,35.71.162.24,443,6,18/12/2024 07:50:55 PM,479111,11,16,1374.0,5189.0,731.0,0.0,124.9090909090909,252.19891139553098,1448.0,0.0,324.31249999999994,569.2003418539615,13698.287035780852,56.35437299498446,18427.346153846156,49712.75879203833,192232.0,0.0,470113.0,47011.3,95742.50862605967,254349.0,84.0,470413.0,31360.866666666672,63225.40717585282,192232.0,0.0,0,0,0,0,256,332,22.95918899795663,33.39518399702783,0.0,1448.0,234.3928571428571,463.9620306372234,215260.7658730158,0,2,0,15,26,0,0,0,1.0,243.07407407407408,124.9090909090909,324.3125,0,0,0,6563,15,14238,0,0,0,0,65535,266,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.1-53228-53-17,192.168.1.4,53228,192.168.1.1,53,17,18/12/2024 07:50:55 PM,11942,1,1,44.0,156.0,44.0,44.0,44.0,0.0,156.0,156.0,156.0,0.0,16747.613465081227,167.47613465081227,11942.0,0.0,11942.0,11942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,83.73806732540613,83.73806732540613,44.0,156.0,81.33333333333334,64.66323014923809,4181.333333333334,0,0,0,0,0,0,0,0,1.0,122.0,44.0,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-184.105.99.75-57147-443-6,192.168.1.4,57147,184.105.99.75,443,6,18/12/2024 07:50:25 PM,46708809,13,11,3565.0,3922.0,1452.0,0.0,274.2307692307692,494.55251723926375,1452.0,0.0,356.5454545454545,566.3997464046685,160.29096353109753,0.5138217075926726,2030817.7826086956,9369272.36278976,4.5006121E7,0.0,4.6452465E7,3871038.7499999995,1.3051830644925764E7,4.531249E7,0.0,4.6383708E7,4638370.800000001,1.4274741550896836E7,4.5262465E7,0.0,0,0,0,0,272,244,0.2783200916126977,0.235501615979975,0.0,1452.0,299.47999999999996,511.4061595248927,261536.25999999998,0,2,0,11,23,0,0,0,0.0,311.9583333333333,274.2307692307692,356.54545454545456,0,0,0,7486,14,9197,13,3565,11,3922,65535,83,8,20,1446344.0,0.0,1446344.0,1446344.0,4.5006121E7,0.0,4.5006121E7,4.5006121E7,NeedManualLabel
192.168.1.4-18.67.195.68-49888-443-6,192.168.1.4,49888,18.67.195.68,443,6,18/12/2024 07:50:40 PM,15028407,6,6,180.0,1837.0,70.0,0.0,30.0,34.415112959279966,903.0,0.0,306.1666666666667,459.46204050679387,134.2124950435532,0.7984878237593646,1366218.8181818181,4489324.029487865,1.4901972E7,0.0,1.5028407E7,3005681.4,6669703.95559509,1.4936734E7,121.0,1.4952935E7,2990587.0,6664016.196256503,1.4911524E7,0.0,0,0,0,0,120,132,0.3992439118796823,0.3992439118796823,0.0,903.0,155.23076923076925,331.16238560716045,109668.52564102563,0,0,0,6,12,0,0,0,1.0,168.16666666666666,30.0,306.1666666666667,0,0,0,2016,6,39558,6,180,6,1837,255,142,3,20,34762.0,0.0,34762.0,34762.0,1.4901972E7,0.0,1.4901972E7,1.4901972E7,NeedManualLabel
192.168.1.4-34.199.80.87-50074-443-6,192.168.1.4,50074,34.199.80.87,443,6,18/12/2024 07:50:39 PM,15609848,5,7,148.0,418.0,73.0,0.0,29.6,30.394078370630027,348.0,0.0,59.71428571428572,128.2090926126982,36.259161524186524,0.7687454740110218,1419077.0909090906,4388211.305758816,1.4641889E7,0.0,1.5207246E7,3801811.5000000005,7463225.192288944,1.4995676E7,199.0,1.5256061E7,2542676.833333333,6031689.404425676,1.4850392E7,0.0,0,0,0,0,100,152,0.32031061417125906,0.4484348598397627,0.0,348.0,43.61538461538461,94.398568546296,8911.089743589744,0,0,0,6,12,0,0,0,1.0,47.25,29.6,59.714285714285715,0,0,0,565,6,2670,5,148,7,418,254,144,3,20,353787.0,0.0,353787.0,353787.0,1.4641889E7,0.0,1.4641889E7,1.4641889E7,NeedManualLabel
31.13.79.53-192.168.1.4-443-57014-6,31.13.79.53,443,192.168.1.4,57014,6,18/12/2024 07:50:46 PM,5012751,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.567949215909588,0.9974562869769514,1253187.75,2505900.8398913653,5012039.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012311.0,5012311.0,0.0,5012311.0,5012311.0,1,0,0,0,60,40,0.5984737721861708,0.39898251479078056,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,440.0,0.0,440.0,440.0,5012039.0,0.0,5012039.0,5012039.0,NeedManualLabel
192.168.1.4-74.125.200.188-49883-5228-6,192.168.1.4,49883,74.125.200.188,5228,6,18/12/2024 07:50:23 PM,45240748,2,2,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.044207933962541905,0.08841586792508381,1.5080249333333332E7,2.5923201767647844E7,4.5013743E7,70403.0,4.5170345E7,4.5170345E7,0.0,4.5170345E7,4.5170345E7,4.5084146E7,4.5084146E7,0.0,4.5084146E7,4.5084146E7,0,0,0,0,40,64,0.044207933962541905,0.044207933962541905,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,4,0,0,0,1.0,0.75,1.0,0.0,0,0,0,0,0,0,2,2,2,0,250,1045,1,20,156602.0,0.0,156602.0,156602.0,4.5013743E7,0.0,4.5013743E7,4.5013743E7,NeedManualLabel
